date,Magyar Péter,Orbán Viktor,Lázár János,Trump,Putyin,Zelenszkij,Karácsony Gergely,Fidesz,Tisza Párt,Mi Hazánk,DK,MSZP,Jobbik,Momentum
2025-12-23,1,1,0,2,0,1,0,1,1,0,1,0,0,2
2025-12-24,0,2,0,2,1,2,2,0,0,0,0,0,0,0
