date,Magyar Péter,Orbán Viktor,Lázár János,Trump,Putyin,Zelenszkij,Karácsony Gergely,Fidesz,Tisza Párt,Mi Hazánk,DK,MSZP,Jobbik,Momentum
2025-12-23,6,5,2,6,6,8,0,3,5,0,0,1,0,0
2025-12-24,4,5,2,8,3,3,0,2,3,0,2,0,0,0
