date,Magyar Péter,Orbán Viktor,Lázár János,Trump,Putyin,Zelenszkij,Karácsony Gergely,Fidesz,Tisza Párt,Mi Hazánk,DK,MSZP,Jobbik,Momentum
2025-12-23,24.0,16.0,2.0,11.0,0.0,9.0,0.0,10.0,19.0,0.0,1.0,0.0,0.0,0.0
2025-12-24,1.0,2.0,0.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
