date,Magyar Péter,Orbán Viktor,Lázár János,Trump,Putyin,Zelenszkij,Karácsony Gergely,Fidesz,Tisza Párt,Mi Hazánk,DK,MSZP,Jobbik,Momentum
2025-12-23,15.0,11.0,3.0,7.0,10.0,22.0,0.0,7.0,11.0,0.0,0.0,1.0,0.0,0.0
2025-12-24,4.0,9.0,2.0,20.0,6.0,11.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0
