date,Magyar Péter,Orbán Viktor,Lázár János,Trump,Putyin,Zelenszkij,Karácsony Gergely,Fidesz,Tisza Párt,Mi Hazánk,DK,MSZP,Jobbik,Momentum
2025-12-20,1.0,5.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,13.0,11.0,7.0,46.0,7.0,6.0,0.0,16.0,17.0,0.0,4.0,0.0,0.0,0.0
2025-12-22,16.0,20.0,21.0,55.0,1.0,0.0,1.0,46.0,25.0,0.0,1.0,0.0,0.0,0.0
2025-12-23,5.0,15.0,4.0,67.0,12.0,4.0,1.0,28.0,3.0,3.0,4.0,1.0,1.0,2.0
2025-12-24,4.0,9.0,0.0,8.0,35.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0
